complaint_id,customer_name,complaint_date,complaint_category,resolution_status,customer_location_city,complaint_location_country,employee_responsible,satisfaction_rating,follow_up_required,escalation_level,complaint_channel,resolution_date,complaint_status,response_method,complaint_priority,Diff  in Days,Difference in Hours
xwcw-8922-8061,Ernestine Lomaz,2024-01-03 18:02:59,hat,Escalated,Sápes,Greece,elomazp@wise.com,,FALSE,Level 2,Email,,Closed,Email,Medium,,
livk-9163-3522,Randy Armin,2024-04-21 16:19:20,referrals,Resolved,Avellaneda,Argentina,rarminq@wise.com,,FALSE,,Phone,,Closed,Chat,Low,,
wjve-6786-0062,Griffith Shenfisch,2024-05-23 18:30:59,referrals,Resolved,Bemposta,Portugal,gshenfischr@wise.com,2,FALSE,,Phone,2024-05-29 09:41:02,Closed,Chat,High,6,144
jsta-4627-5849,Dar Shireff,2024-03-20 16:56:15,privacy,Resolved,Banyuresmi,Indonesia,dshireffs@wise.com,,TRUE,,Email,,Closed,Chat,High,,
mjnv-5868-7471,Thelma Durnan,2024-03-07 22:47:12,technical_issues,Pending,Johanneshov,Sweden,tdurnant@wise.com,,TRUE,,Email,,In Progress,Call,Medium,,
fihr-0096-6660,Wallie Shreve,2024-06-08 14:48:32,customer_service,Escalated,Pesqueira,Brazil,wshreveu@wise.com,,FALSE,Level 2,Chat,,Closed,Email,Medium,,
ggko-0866-1426,Felike Salsbury,2024-01-02 15:56:08,other,Pending,Chalcos,Peru,fsalsburyv@wise.com,,FALSE,,Email,,In Progress,Chat,High,,
ipmx-8506-3625,Brnaby Ricoald,2024-06-26 21:00:35,kyc_transfer_on_hold,Escalated,Qingshui,China,bricoaldw@wise.com,,FALSE,Level 3,Email,,Closed,Email,Medium,,
gkcd-6251-0059,Pinchas Keyes,2024-03-09 12:42:57,plastic,Resolved,Đắk Glei,Vietnam,pkeyesx@wise.com,4,FALSE,,Email,2024-03-15 16:36:45,Closed,Call,Medium,6,144
xovn-6896-8262,Sharity Calf,2024-03-02 11:05:30,other,Pending,Jianchang,China,scalfy@wise.com,,FALSE,,Phone,,In Progress,Call,Medium,,
rwwa-5864-5432,Lianna Beaty,2024-04-27 20:47:50,plastic,Resolved,Priyutovo,Russia,lbeatyz@wise.com,4,TRUE,,Chat,2024-04-30 20:14:30,Closed,Email,High,3,72
szfd-6943-7641,Raye Dennington,2024-01-03 18:07:32,exchange_rate,Escalated,Shuigou’ao,China,rdennington10@wise.com,,TRUE,Level 1,Email,,Closed,Call,Low,,
jseu-5088-1208,Erastus Camlin,2024-01-05 19:50:45,privacy,Escalated,Kumlinge,Aland Islands,ecamlin11@wise.com,,FALSE,Level 1,Phone,,Closed,Chat,High,,
wqvk-7985-6295,Jimmy Forri,2024-01-28 08:11:12,account_deactivation,Pending,Itanhandu,Brazil,jforri12@wise.com,,TRUE,,Email,,Open,Call,High,,
huzv-3323-6602,Siffre Dureden,2024-05-02 20:12:53,verification,Pending,Boavista,Portugal,sdureden13@wise.com,,TRUE,,Chat,,In Progress,Email,Medium,,
cefs-1024-0221,Wald Steffans,2024-03-26 15:04:41,scam,Escalated,Guatire,Venezuela,wsteffans14@wise.com,,FALSE,Level 3,Phone,,Closed,Call,Medium,,
bvxl-3246-3761,Ethelin Medlin,2024-06-12 07:05:46,exchange_rate,Resolved,Hermanus,South Africa,emedlin15@wise.com,,FALSE,,Phone,,Closed,Call,Medium,,
wmpo-9390-8680,Elayne Bozworth,2024-02-02 05:49:37,technical_issues,Pending,Tanxi,China,ebozworth16@wise.com,,FALSE,,Email,,In Progress,Email,Medium,,
axtk-9713-0835,Marijn Siege,2024-06-12 21:34:23,exchange_rate,Escalated,Kawangohari,Indonesia,msiege17@wise.com,4,TRUE,Level 3,Phone,2024-06-15 06:24:15,Closed,Email,Medium,3,72
tgqv-0516-0557,Yurik Kerswill,2024-06-12 11:41:22,technical_issues,Resolved,Perreng,Indonesia,ykerswill18@wise.com,5,FALSE,,Email,2024-06-17 04:57:11,Closed,Chat,Medium,5,120
gulz-5017-9513,Aggie Medgwick,2024-05-28 17:38:59,account_deactivation,Resolved,Al Qubbah,Libya,amedgwick19@wise.com,,FALSE,,Chat,,Closed,Email,Medium,,
zwmz-1678-3514,Robbert Breydin,2024-03-08 22:30:44,fees,Escalated,Penengahan,Indonesia,rbreydin1a@wise.com,,FALSE,Level 1,Chat,,Closed,Email,Medium,,
qjri-8695-7788,Esme McEntagart,2024-03-15 08:08:45,fees,Pending,Marseille,France,emcentagart1b@wise.com,,TRUE,,Phone,,Open,Chat,High,,
zqlm-6897-7786,Sidnee Brouncker,2024-02-12 12:24:20,referrals,Resolved,Klang,Malaysia,sbrouncker1c@wise.com,,TRUE,,Phone,,Closed,Chat,Low,,
nvmj-0505-2242,Washington Rymour,2024-03-17 14:37:20,technical_issues,Pending,Perpignan,France,wrymour1d@wise.com,,FALSE,,Phone,,Open,Chat,Medium,,
lhnx-4243-1739,Finley Gronno,2024-02-05 01:32:06,assets/_investments,Escalated,Tours,France,fgronno1e@wise.com,5,FALSE,Level 1,Phone,2024-02-14 21:38:14,Closed,Call,High,9,216
nppg-6177-3403,Leslie Aseef,2024-05-26 07:49:10,other,Pending,Caucagüito,Venezuela,laseef1f@wise.com,,TRUE,,Email,,Open,Chat,Low,,
jqlx-2025-2570,Montgomery Reddick,2024-01-17 13:38:52,assets/_investments,Resolved,Sagaing,Myanmar,mreddick1g@wise.com,,TRUE,,Email,,Closed,Call,Medium,,
auch-0926-1474,Silvie Bertome,2024-02-21 14:51:59,privacy,Pending,Angan,Indonesia,sbertome1h@wise.com,,TRUE,,Phone,,In Progress,Email,High,,
urlw-7789-8789,Rodger Ranstead,2024-03-28 13:42:03,customer_service,Resolved,Eišiškės,Lithuania,rranstead1i@wise.com,1,TRUE,,Phone,2024-03-29 22:25:49,Closed,Call,High,1,24
adok-2900-0961,Georgi Aronoff,2024-05-09 10:17:50,technical_issues,Escalated,Psebay,Russia,garonoff1j@wise.com,1,TRUE,Level 3,Email,2024-05-18 08:37:59,Closed,Chat,Medium,9,216
eyue-5658-6495,Luke Verrechia,2024-05-02 17:08:41,privacy,Resolved,Ma'an,Jordan,lverrechia1k@wise.com,2,TRUE,,Chat,2024-05-03 10:44:32,Closed,Email,Low,1,24
ermw-5528-8597,Wenda Delieu,2024-01-01 10:50:34,customer_service,Resolved,Kvitok,Russia,wdelieu1l@wise.com,,FALSE,,Email,,Closed,Call,Medium,,
oayg-4488-3266,Eadith Lightbowne,2024-03-15 13:05:06,exchange_rate,Escalated,Japerejo,Indonesia,elightbowne1m@wise.com,5,TRUE,Level 3,Chat,2024-03-20 09:32:53,Closed,Chat,High,5,120
yomk-2603-2085,Tammi Robertis,2024-03-25 11:22:18,other,Escalated,Banfora,Burkina Faso,trobertis1n@wise.com,,TRUE,Level 3,Phone,,Closed,Call,Medium,,
ofji-6812-2007,Gun Gueste,2024-03-02 05:55:35,referrals,Resolved,Mariquita,Colombia,ggueste1o@wise.com,2,TRUE,,Chat,2024-03-03 22:06:25,Closed,Email,Medium,1,24
qsjg-9420-8397,Owen Roan,2024-05-27 22:30:25,kyc_transfer_on_hold,Resolved,Lubbock,United States,oroan1p@wise.com,,FALSE,,Email,,Closed,Email,Low,,
jbmd-0915-8698,Carlene Fadian,2024-01-21 20:48:40,privacy,Pending,Dajalorong,Indonesia,cfadian1q@wise.com,,TRUE,,Phone,,Open,Chat,Medium,,
cyyq-7650-8112,Kare Golding,2024-03-22 18:08:22,kyc_transfer_on_hold,Escalated,København,Denmark,kgolding1r@wise.com,,FALSE,Level 3,Chat,,Closed,Chat,Low,,
zsal-0804-0261,Tuck Rathbone,2024-04-17 00:25:12,other,Resolved,Banjar Kajanan,Indonesia,trathbone1s@wise.com,3,FALSE,,Email,2024-04-24 18:59:34,Closed,Email,Medium,7,168
jbtz-6964-6227,Velvet MacQuist,2024-04-24 02:33:20,other,Pending,Zhongxiao,China,vmacquist1t@wise.com,,FALSE,,Phone,,Open,Chat,Medium,,
ksok-5863-0578,Tiler Jaquin,2024-04-03 23:41:13,plastic,Pending,Bayawan,Philippines,tjaquin1u@wise.com,,FALSE,,Chat,,In Progress,Call,Low,,
jglv-5809-4329,Zonda Braidford,2024-04-28 18:12:13,exchange_rate,Escalated,Tianta,China,zbraidford1v@wise.com,5,FALSE,Level 1,Phone,2024-05-06 01:54:55,Closed,Chat,High,8,192
fnpg-4865-3178,Caria Canon,2024-03-26 05:45:00,hat,Resolved,Bailieborough,Ireland,ccanon1w@wise.com,,FALSE,,Email,,Closed,Call,Low,,
dmfc-4036-3199,Augustus Crompton,2024-02-14 17:09:30,other,Resolved,Poções,Brazil,acrompton1x@wise.com,1,FALSE,,Phone,2024-02-22 15:27:49,Closed,Email,Medium,8,192
adub-4411-1181,Doll Merrgan,2024-06-01 22:58:36,kyc_transfer_on_hold,Escalated,Quanyang,China,dmerrgan1y@wise.com,,TRUE,Level 2,Phone,,Closed,Chat,Low,,
atim-0941-6458,Dewitt Lemmanbie,2024-03-28 03:41:43,technical_issues,Escalated,Diourbel,Senegal,dlemmanbie1z@wise.com,4,TRUE,Level 1,Phone,2024-04-06 01:30:05,Closed,Chat,High,9,216
eosy-9944-5829,Carlyle Lytle,2024-03-26 16:59:55,account_deactivation,Resolved,Khabarovsk,Russia,clytle20@wise.com,,TRUE,,Phone,,Closed,Email,High,,
gkaq-7573-5333,Morgana Greene,2024-06-04 07:09:44,customer_service,Escalated,Huanshi,China,mgreene21@wise.com,,TRUE,Level 2,Email,,Closed,Call,Low,,
ents-7934-5137,Emogene Housecroft,2024-01-24 11:46:45,customer_service,Escalated,Shuizhai,China,ehousecroft22@wise.com,,FALSE,Level 1,Chat,,Closed,Call,Low,,
blik-2160-8120,Sophie Wooding,2024-04-30 02:48:54,customer_service,Escalated,Hobor,China,swooding23@wise.com,4,FALSE,Level 2,Phone,2024-05-07 12:46:56,Closed,Email,Medium,7,168
vrqq-8537-4820,Glyn Rogge,2024-06-09 18:57:56,customer_service,Escalated,Capandanan,Philippines,grogge24@wise.com,,TRUE,Level 2,Phone,,Closed,Email,Low,,
sgdo-6111-7026,Nadeen Liff,2024-03-29 19:52:03,where_s_my_money,Escalated,Toba,Japan,nliff25@wise.com,,TRUE,Level 2,Email,,Closed,Chat,Medium,,
fiwg-1437-1655,Kari Willder,2024-03-28 22:25:00,hat,Pending,Rače,Slovenia,kwillder26@wise.com,,TRUE,,Email,,In Progress,Chat,Low,,
cscz-5051-2866,Pippy Bradborne,2024-02-06 01:51:32,referrals,Escalated,Ndeaboh,Nigeria,pbradborne27@wise.com,,TRUE,Level 1,Chat,,Closed,Call,Low,,
rplb-2775-2276,Peta Tollit,2024-06-10 10:19:36,where_s_my_money,Resolved,Uromi,Nigeria,ptollit28@wise.com,,TRUE,,Phone,,Closed,Email,Medium,,
uewm-1009-4076,Phaedra Alishoner,2024-06-02 20:00:19,technical_issues,Escalated,Khánh Hải,Vietnam,palishoner29@wise.com,,FALSE,Level 2,Phone,,Closed,Call,High,,
hvtx-9656-7319,Hort Thurlbourne,2024-04-23 12:45:58,assets/_investments,Resolved,Matsena,Nigeria,hthurlbourne2a@wise.com,,TRUE,,Phone,,Closed,Chat,High,,
izzn-3994-1068,Christine Dodsley,2024-02-15 10:19:08,kyc_transfer_on_hold,Resolved,Buçimas,Albania,cdodsley2b@wise.com,,FALSE,,Chat,,Closed,Call,Low,,
xoxr-5913-8017,Hebert McHarry,2024-02-09 02:04:38,where_s_my_money,Resolved,Luokeng,China,hmcharry2c@wise.com,,FALSE,,Phone,,Closed,Email,Medium,,
mmca-4346-7274,Larissa Dionis,2024-05-16 09:39:08,technical_issues,Escalated,Moquegua,Peru,ldionis2d@wise.com,2,FALSE,Level 1,Phone,2024-05-19 03:52:21,Closed,Chat,High,3,72
gbou-2488-6708,Dennet Kleen,2024-03-08 22:38:45,where_s_my_money,Pending,Zarqa,Jordan,dkleen2e@wise.com,,TRUE,,Chat,,In Progress,Email,Low,,
dqtx-3692-7985,Layla Montague,2024-01-16 01:56:42,customer_service,Resolved,Nyangao,Tanzania,lmontague2f@wise.com,3,TRUE,,Chat,2024-01-26 16:02:38,Closed,Call,Low,10,240
uscs-5551-7960,Elene Newlove,2024-01-16 17:45:06,other,Pending,Qingyun,China,enewlove2g@wise.com,,FALSE,,Email,,Open,Call,Medium,,
plzw-8297-4468,Orsa Collum,2024-03-17 12:48:01,exchange_rate,Resolved,Lidian,China,ocollum2h@wise.com,,FALSE,,Phone,,Closed,Chat,Low,,
tbdn-4473-5555,Cammie Bleakman,2024-03-21 11:08:50,privacy,Escalated,Shīnḏanḏ,Afghanistan,cbleakman2i@wise.com,,TRUE,Level 1,Email,,Closed,Chat,High,,
hafr-1571-3601,Adelbert Puddicombe,2024-04-17 12:54:10,scam,Pending,Yihe,China,apuddicombe2j@wise.com,,FALSE,,Phone,,In Progress,Chat,Medium,,
nfnm-7188-3683,Nestor McGiffie,2024-04-08 05:16:33,exchange_rate,Escalated,Gampola,Sri Lanka,nmcgiffie2k@wise.com,,FALSE,Level 1,Chat,,Closed,Call,Low,,
wdqw-1867-5759,Rosalyn Benoist,2024-03-10 00:55:22,scam,Escalated,Gigante,Colombia,rbenoist2l@wise.com,2,FALSE,Level 3,Email,2024-03-20 08:07:43,Closed,Call,Low,10,240
qtes-0011-2389,Chadd Celes,2024-03-14 12:11:17,verification,Pending,Nackawic,Canada,cceles2m@wise.com,,FALSE,,Email,,In Progress,Call,Low,,
qwnf-6214-6250,Emelyne Bonass,2024-04-19 12:03:50,plastic,Escalated,Starobaltachevo,Russia,ebonass2n@wise.com,5,FALSE,Level 3,Email,2024-04-29 13:25:54,Closed,Call,Medium,10,240
wkir-9887-2021,Luci Hamm,2024-03-11 10:14:02,scam,Pending,Mansilingan,Philippines,lhamm2o@wise.com,,TRUE,,Phone,,In Progress,Call,Medium,,
ytud-9690-7182,Murvyn Eul,2024-05-03 21:53:30,hat,Pending,Ingå,Finland,meul2p@wise.com,,FALSE,,Phone,,In Progress,Email,Medium,,
mpft-1042-4117,Cary Pougher,2024-03-31 19:23:09,account_deactivation,Escalated,Ulan Us,China,cpougher2q@wise.com,,TRUE,Level 3,Email,,Closed,Email,Low,,
dcfx-8486-1597,Shurlocke Geerling,2024-06-11 07:36:13,where_s_my_money,Escalated,Babakanloa,Indonesia,sgeerling2r@wise.com,,TRUE,Level 2,Email,,Closed,Call,Low,,
gjmt-6254-4624,Felice Paler,2024-04-09 23:06:41,assets/_investments,Escalated,Challans,France,fpaler2s@wise.com,,FALSE,Level 2,Email,,Closed,Email,Medium,,
jndv-2943-1346,Georgianne Tiffany,2024-02-17 11:02:23,assets/_investments,Resolved,Nowy Staw,Poland,gtiffany2t@wise.com,3,FALSE,,Phone,2024-02-22 05:07:27,Closed,Chat,Low,5,120
zuub-6322-1885,Alf Blowing,2024-04-25 17:42:12,kyc_transfer_on_hold,Resolved,Xiaojiang,China,ablowing2u@wise.com,1,FALSE,,Email,2024-05-04 23:24:16,Closed,Call,Medium,9,216
xxpt-4112-9748,Toddy Rens,2024-01-16 10:35:54,customer_service,Escalated,Malonty,Czech Republic,trens2v@wise.com,,TRUE,Level 2,Phone,,Closed,Chat,High,,
nmdd-3723-7825,Casandra Klemz,2024-02-21 06:53:47,other,Escalated,Ko Pha Ngan,Thailand,cklemz2w@wise.com,2,FALSE,Level 3,Email,2024-02-23 08:05:02,Closed,Chat,Low,2,48
bckd-2013-8078,Whitby Ginity,2024-02-28 04:01:05,other,Resolved,Serra,Brazil,wginity2x@wise.com,,TRUE,,Phone,,Closed,Chat,Medium,,
vssy-0081-6405,Thedric Pilbury,2024-05-13 13:14:54,assets/_investments,Pending,Yāsūf,Palestinian Territory,tpilbury2y@wise.com,,TRUE,,Chat,,In Progress,Call,Low,,
gjsp-1404-8027,Rianon Bogies,2024-01-16 07:30:08,kyc_transfer_on_hold,Pending,Cruz Alta,Argentina,rbogies2z@wise.com,,FALSE,,Chat,,In Progress,Email,Low,,
jxhu-3778-6378,Erena Jerche,2024-05-09 08:50:01,verification,Pending,Shuvakish,Russia,ejerche30@wise.com,,FALSE,,Phone,,Open,Call,Low,,
hsgh-7270-2452,Yank Camois,2024-01-07 12:31:10,hat,Pending,An Châu,Vietnam,ycamois31@wise.com,,FALSE,,Chat,,In Progress,Email,Low,,
sybd-6300-4530,Yolande Garbar,2024-04-09 21:57:14,referrals,Pending,Protaras,Cyprus,ygarbar32@wise.com,,FALSE,,Chat,,In Progress,Email,High,,
xunv-6412-7432,Dynah Bindin,2024-02-19 18:47:59,assets/_investments,Escalated,Sabana Grande de Boyá,Dominican Republic,dbindin33@wise.com,,TRUE,Level 3,Email,,Closed,Chat,Low,,
zqls-7980-6635,Andi Pedracci,2024-06-06 19:16:32,referrals,Resolved,Pizarrete,Dominican Republic,apedracci34@wise.com,5,FALSE,,Email,2024-06-16 15:33:48,Closed,Call,High,10,240
bsxf-2136-7296,Emmett Rappoport,2024-04-26 16:44:24,technical_issues,Escalated,Woniuhe,China,erappoport35@wise.com,,TRUE,Level 1,Email,,Closed,Call,High,,
ylvu-1536-4253,Jacky Izak,2024-04-11 21:05:27,exchange_rate,Pending,Datian,China,jizak36@wise.com,,FALSE,,Email,,In Progress,Chat,Low,,
ogmv-7809-7052,Arlan Spencley,2024-03-24 00:28:23,plastic,Escalated,Acevedo,Colombia,aspencley37@wise.com,,FALSE,Level 1,Email,,Closed,Chat,Low,,
rmik-4185-5342,Wyndham Critcher,2024-04-20 03:10:20,fees,Resolved,Indaial,Brazil,wcritcher38@wise.com,,TRUE,,Email,,Closed,Chat,Low,,
kmdo-3370-5308,Brion Ackenson,2024-04-04 23:17:31,fees,Pending,Skien,Norway,backenson39@wise.com,,FALSE,,Email,,In Progress,Call,Medium,,
ixan-5350-9625,Joel Timothy,2024-02-12 20:13:18,hat,Pending,Boyany,Ukraine,jtimothy3a@wise.com,,TRUE,,Email,,In Progress,Chat,Medium,,
wpcv-9943-4773,Kissie Gland,2024-01-16 15:57:41,privacy,Escalated,Odienné,Ivory Coast,kgland3b@wise.com,,FALSE,Level 2,Email,,Closed,Call,High,,
vbzu-1602-3507,Karlie Ingerfield,2024-03-01 12:41:07,privacy,Escalated,Poshnje,Albania,kingerfield3c@wise.com,,FALSE,Level 1,Phone,,Closed,Chat,High,,
mcwb-7274-3859,Henri Matyukon,2024-01-21 08:11:32,hat,Escalated,Itigi,Tanzania,hmatyukon3d@wise.com,,TRUE,Level 1,Email,,Closed,Email,Medium,,
bwjo-4374-1636,Tory Gretton,2024-03-24 23:52:24,assets/_investments,Pending,Quận Phú Nhuận,Vietnam,tgretton3e@wise.com,,FALSE,,Phone,,In Progress,Chat,Medium,,
fppr-9378-3805,Jennine Durman,2024-04-30 14:34:13,plastic,Escalated,Los Andes,Colombia,jdurman3f@wise.com,,TRUE,Level 3,Email,,Closed,Chat,High,,
vpkj-6399-9799,Aigneis Aleavy,2024-03-13 17:11:58,fees,Pending,Denver,United States,aaleavy3g@wise.com,,TRUE,,Chat,,Open,Call,Medium,,
nvef-8856-9651,Deane Petry,2024-04-04 23:47:46,assets/_investments,Resolved,Kozova,Ukraine,dpetry3h@wise.com,,FALSE,,Email,,Closed,Email,Medium,,
zrbt-0473-4863,Lazaro Jorissen,2024-04-05 08:20:54,technical_issues,Escalated,Tiling,Philippines,ljorissen3i@wise.com,2,TRUE,Level 2,Email,2024-04-07 01:18:49,Closed,Chat,High,2,48
zupi-0158-8222,Arda Yepiskov,2024-03-13 23:41:01,where_s_my_money,Escalated,Miami,United States,ayepiskov3j@wise.com,,TRUE,Level 3,Phone,,Closed,Chat,Low,,
krlf-3573-5243,Cinda Martinie,2024-02-14 10:03:00,plastic,Resolved,Lile,China,cmartinie3k@wise.com,,TRUE,,Chat,,Closed,Email,High,,
vcsu-4115-7649,Sander Lade,2024-04-02 10:32:08,customer_service,Resolved,Contraalmirante Cordero,Argentina,slade3l@wise.com,,TRUE,,Email,,Closed,Chat,Low,,
ttmj-0072-6328,Kenna Bene,2024-06-18 22:01:34,account_deactivation,Escalated,Vuzenica,Slovenia,kbene3m@wise.com,,TRUE,Level 3,Phone,,Closed,Call,Low,,
nxec-2213-6911,Veronique Mallard,2024-04-22 03:06:02,fees,Pending,Akriní,Greece,vmallard3n@wise.com,,FALSE,,Email,,In Progress,Chat,Medium,,
zcxv-9469-6229,Walt Sketch,2024-06-01 20:38:37,privacy,Resolved,Bungtiang Barat,Indonesia,wsketch3o@wise.com,,FALSE,,Chat,,Closed,Call,High,,
phfi-2565-5491,Salim Keeble,2024-05-01 06:05:28,account_deactivation,Escalated,Purranque,Chile,skeeble3p@wise.com,3,TRUE,Level 3,Email,2024-05-02 07:24:43,Closed,Call,Medium,1,24
vjfx-2901-9749,Jackie Ugolini,2024-05-09 11:44:32,fees,Pending,Maceo,Colombia,jugolini3q@wise.com,,TRUE,,Chat,,Open,Email,Medium,,
exbg-9718-5186,Anders Barraclough,2024-02-16 02:36:51,referrals,Escalated,Fundación,Dominican Republic,abarraclough3r@wise.com,1,FALSE,Level 3,Phone,2024-02-20 21:59:24,Closed,Email,High,4,96
qpdx-7507-8772,Anthe Chatterton,2024-05-17 02:00:35,assets/_investments,Resolved,Xinquan,China,achatterton3s@wise.com,,TRUE,,Phone,,Closed,Email,Medium,,
voks-9369-2474,Anatollo Mogie,2024-04-26 03:19:52,verification,Resolved,Bang Racham,Thailand,amogie3t@wise.com,,TRUE,,Chat,,Closed,Call,Medium,,
wywv-8401-3864,Florrie Niche,2024-03-01 18:31:48,referrals,Resolved,Besançon,France,fniche3u@wise.com,,TRUE,,Phone,,Closed,Chat,Low,,
dmmf-6174-5250,Artair Brunner,2024-03-12 23:42:48,where_s_my_money,Pending,Charlotte,United States,abrunner3v@wise.com,,TRUE,,Phone,,In Progress,Email,Low,,
kubq-1068-2041,Elfreda Flavelle,2024-02-25 22:51:46,assets/_investments,Resolved,Sparks,United States,eflavelle3w@wise.com,,TRUE,,Phone,,Closed,Chat,Medium,,
eqzv-7145-1497,Giacobo Stollenberg,2024-06-29 15:11:38,other,Pending,Nong Bua Lamphu,Thailand,gstollenberg3x@wise.com,,FALSE,,Phone,,Open,Email,Low,,
jote-1601-3426,Sylvia Doughty,2024-03-19 03:05:30,verification,Resolved,Avaré,Brazil,sdoughty3y@wise.com,,FALSE,,Phone,,Closed,Email,High,,
mafu-6143-9253,Dynah Oneill,2024-03-26 00:04:24,account_deactivation,Resolved,San Jorge,Argentina,doneill3z@wise.com,2,FALSE,,Phone,2024-04-04 00:26:31,Closed,Chat,Medium,9,216
gefd-7116-3294,Gavrielle Schult,2024-06-25 16:10:10,scam,Resolved,Karangkancana,Indonesia,gschult40@wise.com,,FALSE,,Phone,,Closed,Chat,Medium,,
ipxw-2045-4867,Sheena Mateo,2024-04-24 04:32:36,referrals,Escalated,Zbrosławice,Poland,smateo41@wise.com,,TRUE,Level 1,Email,,Closed,Chat,High,,
eehl-4798-4339,Ky Dradey,2024-03-04 05:27:53,exchange_rate,Resolved,Zvole,Czech Republic,kdradey42@wise.com,,FALSE,,Chat,,Closed,Email,Medium,,
